iter	RMSE
0	16.50710115
1	16.03420912
2	15.5821017
3	15.16185903
4	14.76739576
5	14.40457173
6	14.07717303
7	13.76312505
8	13.46965744
9	13.20564033
10	12.95378323
11	12.72428671
12	12.51258394
13	12.35721215
14	12.17072613
15	11.99958861
16	11.85412571
17	11.70943532
18	11.57688876
19	11.46196935
20	11.34449454
21	11.24180668
22	11.14769986
23	11.06076412
24	10.97571576
25	10.89798966
26	10.83195134
27	10.77158913
28	10.71507394
29	10.65927163
30	10.61257035
31	10.56812488
32	10.5236854
33	10.48511515
34	10.45283844
35	10.42047519
36	10.39076148
37	10.36788955
38	10.34851708
39	10.33069602
40	10.30746018
41	10.28545195
42	10.26719112
43	10.2412572
44	10.22502292
45	10.21010071
46	10.2008243
47	10.18297478
48	10.17005896
49	10.15366099
50	10.1391451
51	10.13037917
52	10.1168605
53	10.10500734
54	10.09493115
55	10.07933732
56	10.06873422
57	10.05962127
58	10.05092617
59	10.04297687
60	10.03774593
61	10.02967941
62	10.02420414
63	10.01833107
64	10.01015953
65	10.00453826
66	9.999909067
67	9.989977616
68	9.987291801
69	9.983308176
70	9.978393894
71	9.970623527
72	9.963218216
73	9.959083085
74	9.953370548
75	9.94898577
76	9.942039541
77	9.935214084
78	9.93008941
79	9.92539572
80	9.921818062
81	9.918923086
82	9.913996905
83	9.909308728
84	9.903858643
85	9.897704709
86	9.89291093
87	9.887063643
88	9.879490645
89	9.875620942
90	9.873659642
91	9.871084866
92	9.865540411
93	9.862613235
94	9.855047077
95	9.851295514
96	9.849215136
97	9.842407292
98	9.838810416
99	9.837029164
100	9.832033223
101	9.828980073
102	9.825408608
103	9.823055602
104	9.821464151
105	9.819495525
106	9.817254846
107	9.8152279
108	9.813051235
109	9.809466293
110	9.808897977
111	9.805870644
112	9.802330496
113	9.80082613
114	9.796783991
115	9.793946055
116	9.791419274
117	9.790461841
118	9.786740305
119	9.782849007
120	9.78017356
121	9.776728835
122	9.774510828
123	9.772169695
124	9.76805969
125	9.766394481
126	9.764809163
127	9.762459369
128	9.760062241
129	9.75567008
130	9.754151074
131	9.752412216
132	9.751104712
133	9.749041109
134	9.748151516
135	9.746035081
136	9.745186736
137	9.743545802
138	9.740164436
139	9.737932693
140	9.735017289
141	9.733201118
142	9.732957873
143	9.731529169
144	9.729602634
145	9.726008738
146	9.723451008
147	9.720906137
148	9.718363888
149	9.716855758
150	9.713987659
151	9.711574328
152	9.709759825
153	9.708065432
154	9.707604543
155	9.703750358
156	9.702280939
157	9.700434293
158	9.697221461
159	9.695572981
160	9.694554943
161	9.692006061
162	9.690256318
163	9.687875121
164	9.687553125
165	9.685887302
166	9.685669827
167	9.684588589
168	9.68368317
169	9.682317637
170	9.68202379
171	9.679263775
172	9.67900958
173	9.675411854
174	9.673024052
175	9.671632474
176	9.667798909
177	9.664871404
178	9.661035555
179	9.659042413
180	9.656866869
181	9.654458317
182	9.651070413
183	9.64830081
184	9.646604241
185	9.645100517
186	9.644929425
187	9.643529234
188	9.641611561
189	9.638262849
190	9.634431768
191	9.632503594
192	9.631972192
193	9.629656819
194	9.628474471
195	9.626656609
196	9.625430797
197	9.623348868
198	9.62097513
199	9.619015474
200	9.61818354
201	9.616809631
202	9.615180818
203	9.613855324
204	9.61260415
205	9.611980674
206	9.611404148
207	9.610530391
208	9.609608764
209	9.608198219
210	9.608056249
211	9.606768573
212	9.60533277
213	9.603304286
214	9.601091787
215	9.598952078
216	9.598202151
217	9.597900438
218	9.597346308
219	9.59688718
220	9.595243439
221	9.594483614
222	9.593057638
223	9.591594482
224	9.591491956
225	9.590750511
226	9.589628735
227	9.58810344
228	9.587618559
229	9.585277942
230	9.584273278
231	9.583145035
232	9.581858088
233	9.580419754
234	9.575649956
235	9.574373258
236	9.573551554
237	9.572432384
238	9.571344899
239	9.569895922
240	9.568667846
241	9.568562532
242	9.567532683
243	9.566011293
244	9.564380794
245	9.562743374
246	9.560099472
247	9.558881575
248	9.558272763
249	9.556445335
250	9.553272958
251	9.553172607
252	9.551928559
253	9.549205605
254	9.547193944
255	9.546884846
256	9.546698836
257	9.543998384
258	9.543143339
259	9.542771461
260	9.540417763
261	9.540229197
262	9.539826964
263	9.537200301
264	9.535293016
265	9.534530151
266	9.533036421
267	9.530529881
268	9.530178816
269	9.529392668
270	9.528599797
271	9.528191685
272	9.527222817
273	9.526289274
274	9.525637883
275	9.524879829
276	9.524249374
277	9.524123493
278	9.523785071
279	9.522539713
280	9.521211248
281	9.519473063
282	9.518379921
283	9.517453393
284	9.515554728
285	9.514953118
286	9.513057722
287	9.512712963
288	9.511802522
289	9.510873397
290	9.50954119
291	9.50872044
292	9.50839649
293	9.508029017
294	9.505551467
295	9.504646151
296	9.499909025
297	9.498343326
298	9.497226808
299	9.496204631
300	9.495874913
301	9.493471907
302	9.491431524
303	9.490731821
304	9.48984512
305	9.487724283
306	9.484502641
307	9.483448565
308	9.482621203
309	9.482431765
310	9.480840017
311	9.478132234
312	9.475801364
313	9.475619111
314	9.474652726
315	9.474356082
316	9.47081034
317	9.47040872
318	9.469121434
319	9.467379955
320	9.465791149
321	9.465294542
322	9.464833752
323	9.464702595
324	9.462280383
325	9.461791345
326	9.460462384
327	9.459507761
328	9.4563346
329	9.455680102
330	9.45447243
331	9.453911543
332	9.452564102
333	9.450852718
334	9.448637797
335	9.446737675
336	9.445182257
337	9.443631851
338	9.441865711
339	9.441745709
340	9.441005682
341	9.440109778
342	9.43932005
343	9.438927235
344	9.437929288
345	9.436351233
346	9.435497673
347	9.433561218
348	9.432174858
349	9.42876808
