iter	Passed	Remaining
0	59	20780
1	67	11713
2	84	9789
3	98	8534
4	113	7865
5	127	7322
6	135	6637
7	143	6120
8	157	5961
9	173	5899
10	183	5651
11	203	5732
12	217	5649
13	229	5519
14	246	5500
15	255	5338
16	264	5184
17	269	4978
18	274	4773
19	276	4568
20	280	4389
21	283	4226
22	286	4079
23	290	3947
24	294	3833
25	298	3718
26	301	3610
27	305	3511
28	309	3424
29	313	3347
30	317	3262
31	320	3186
32	324	3116
33	328	3049
34	332	2988
35	337	2939
36	340	2883
37	344	2827
38	346	2762
39	349	2706
40	352	2654
41	355	2610
42	358	2562
43	362	2518
44	365	2476
45	368	2438
46	371	2392
47	374	2353
48	378	2322
49	381	2290
50	384	2257
51	388	2224
52	391	2196
53	395	2169
54	399	2141
55	403	2117
56	406	2091
57	411	2069
58	415	2049
59	419	2025
60	422	2003
61	427	1983
62	431	1964
63	434	1942
64	438	1922
65	441	1900
66	446	1883
67	450	1868
68	452	1843
69	455	1823
70	458	1803
71	462	1787
72	467	1775
73	471	1759
74	474	1741
75	478	1726
76	482	1709
77	486	1698
78	490	1682
79	494	1669
80	497	1653
81	501	1638
82	504	1621
83	508	1610
84	512	1597
85	515	1582
86	520	1573
87	523	1559
88	527	1546
89	530	1531
90	533	1519
91	537	1506
92	542	1498
93	545	1484
94	549	1474
95	553	1463
96	556	1452
97	561	1443
98	565	1432
99	568	1420
100	571	1409
101	575	1400
102	579	1389
103	582	1377
104	586	1367
105	589	1356
106	592	1345
107	596	1336
108	599	1326
109	603	1316
110	606	1305
111	611	1299
112	616	1293
113	620	1284
114	623	1274
115	628	1267
116	630	1256
117	633	1245
118	636	1236
119	640	1227
120	644	1220
121	648	1211
122	651	1201
123	653	1191
124	656	1182
125	659	1172
126	663	1164
127	666	1155
128	669	1146
129	674	1140
130	677	1132
131	681	1125
132	683	1115
133	687	1108
134	690	1099
135	694	1092
136	696	1083
137	699	1074
138	702	1066
139	708	1063
140	711	1055
141	715	1047
142	718	1040
143	722	1032
144	726	1026
145	729	1019
146	733	1013
147	736	1005
148	739	997
149	742	990
150	746	983
151	750	978
152	753	970
153	757	963
154	759	955
155	762	948
156	766	941
157	768	934
158	772	928
159	775	921
160	780	915
161	783	908
162	786	902
163	789	895
164	793	889
165	797	883
166	801	877
167	804	871
168	807	865
169	811	858
170	814	852
171	817	845
172	821	840
173	826	836
174	830	830
175	834	825
176	838	819
177	842	814
178	846	808
179	850	802
180	853	796
181	857	791
182	861	786
183	865	781
184	868	775
185	873	770
186	875	763
187	879	757
188	882	752
189	886	746
190	890	741
191	894	735
192	898	731
193	903	726
194	906	720
195	910	715
196	914	710
197	918	704
198	921	699
199	924	693
200	928	688
201	933	683
202	936	678
203	941	673
204	944	668
205	948	662
206	951	657
207	956	652
208	959	647
209	962	641
210	964	635
211	968	630
212	970	624
213	974	619
214	977	613
215	981	608
216	984	603
217	987	597
218	990	592
219	993	586
220	996	581
221	999	576
222	1002	571
223	1007	566
224	1009	560
225	1012	555
226	1017	551
227	1022	547
228	1026	542
229	1029	537
230	1032	531
231	1035	526
232	1039	521
233	1042	516
234	1048	512
235	1051	507
236	1056	503
237	1059	498
238	1062	493
239	1065	488
240	1069	483
241	1074	479
242	1078	475
243	1082	470
244	1086	465
245	1091	461
246	1094	456
247	1097	451
248	1100	446
249	1104	441
250	1108	437
251	1113	432
252	1117	428
253	1121	423
254	1124	419
255	1128	414
256	1131	409
257	1135	404
258	1139	400
259	1142	395
260	1146	390
261	1149	386
262	1153	381
263	1156	376
264	1159	371
265	1162	367
266	1165	362
267	1169	357
268	1173	353
269	1176	348
270	1179	343
271	1183	339
272	1186	334
273	1190	330
274	1193	325
275	1197	321
276	1201	316
277	1204	311
278	1206	307
279	1209	302
280	1214	298
281	1218	293
282	1222	289
283	1225	284
284	1229	280
285	1232	275
286	1237	271
287	1241	267
288	1246	263
289	1249	258
290	1254	254
291	1257	249
292	1261	245
293	1264	240
294	1268	236
295	1271	231
296	1276	227
297	1280	223
298	1283	218
299	1286	214
300	1291	210
301	1294	205
302	1298	201
303	1302	197
304	1306	192
305	1309	188
306	1313	183
307	1316	179
308	1320	175
309	1324	170
310	1327	166
311	1331	162
312	1335	157
313	1340	153
314	1344	149
315	1347	145
316	1352	140
317	1356	136
318	1359	132
319	1364	127
320	1367	123
321	1372	119
322	1376	115
323	1380	110
324	1385	106
325	1389	102
326	1393	98
327	1396	93
328	1400	89
329	1404	85
330	1409	80
331	1412	76
332	1415	72
333	1418	67
334	1422	63
335	1426	59
336	1429	55
337	1433	50
338	1436	46
339	1439	42
340	1443	38
341	1446	33
342	1450	29
343	1454	25
344	1457	21
345	1461	16
346	1465	12
347	1468	8
348	1471	4
349	1475	0
