station_name,latitude,longitude,available_officers
Peenya Traffic Police Station,13.0285,77.5197,18
Yeshwanthpur Traffic Police Station,13.0238,77.5566,14
Hebbal Traffic Police Station,13.0358,77.5970,16
Indiranagar Traffic Police Station,12.9784,77.6408,12
Madiwala Traffic Police Station,12.9226,77.6174,15
Basavanagudi Traffic Police Station,12.9420,77.5752,10
K R Puram Traffic Police Station,13.0087,77.6951,13
Whitefield Traffic Police Station,12.9698,77.7499,11
Mysore Road Traffic Police Station,12.9530,77.5290,12
Electronic City Traffic Police Station,12.8452,77.6602,10
